key,ip_all_flow_duration,flow_start,flow_cur_time,ip_addr_src,ip_addr_dst,ip_port_src,ip_port_dst,ip_proto,ip_fwd_pkt_tot_num,ip_fwd_pkt_tot_len,ip_fwd_pkt_len_max,ip_fwd_pkt_len_min,ip_fwd_pkt_len_mean,ip_fwd_pkt_len_std,ip_fwd_pkts_sec,ip_fwd_bytes_sec,ip_bwd_pkt_tot_num,ip_bwd_pkt_tot_len,ip_bwd_pkt_len_max,ip_bwd_pkt_len_min,ip_bwd_pkt_len_mean,ip_bwd_pkt_len_std,ip_bwd_pkts_sec,ip_bwd_bytes_sec,ip_pkt_tot_num,ip_pkt_tot_len,ip_pkt_len_max,ip_pkt_len_min,ip_pkt_len_mean,ip_pkt_len_std,ip_flow_bytes_sec,ip_flow_pkts_sec,ip_dont_frag_count,tcp_fwd_psh_flags,tcp_bwd_psh_flags,tcp_fwd_urg_flags,tcp_bwd_urg_flags,tcp_fin_flag_count,tcp_syn_flag_count,tcp_rst_flag_count,tcp_psh_flag_count,tcp_ack_flag_count,tcp_urg_flag_count,tcp_cwr_flag_count,tcp_ece_flag_count,ip_ttl_max,ip_ttl_min,ip_ttl_mean,ip_ttl_std,ip_fwd_ttl_max,ip_fwd_ttl_min,ip_fwd_ttl_mean,ip_fwd_ttl_std,ip_bwd_ttl_max,ip_bwd_ttl_min,ip_bwd_ttl_mean,ip_bwd_ttl_std,tcp_fwd_init_win,tcp_bwd_init_win,label,flow_alert
192.168.50.80:49154 255.255.255.255:6667,9.978917837142944,1676309003.262575,1676309013.2414927,192.168.50.80,255.255.255.255,49154,6667,UDP,3,648,216,216,216.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,3,648,216,216,216.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255.0,0.0,255,255,255.0,0.0,0,0,0.0,0.0,-1,-1,0,benign flow
192.168.50.82:49154 255.255.255.255:6667,10.000556707382202,1676309003.26412,1676309013.2646768,192.168.50.82,255.255.255.255,49154,6667,UDP,3,648,216,216,216.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,3,648,216,216,216.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255.0,0.0,255,255,255.0,0.0,0,0,0.0,0.0,-1,-1,0,benign flow
192.168.50.12:48004 52.32.173.247:9930,0.07035112380981445,1676309003.2661932,1676309003.3365443,192.168.50.12,52.32.173.247,48004,9930,UDP,1,108,108,108,108.0,0.0,0.0,0.0,1,215,215,215,215.0,0.0,0.0,0.0,2,323,215,108,161.5,53.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,64,147.0,83.0,64,64,64.0,0.0,230,230,230.0,0.0,-1,-1,0,benign flow
192.168.50.60:50754 3.82.153.192:2350,0.0,1676309003.6584628,1676309003.6584635,192.168.50.60,3.82.153.192,50754,2350,TCP,1,60,60,60,60.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,60,60,60,60.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,64,64,64.0,0.0,64,64,64.0,0.0,0,0,0.0,0.0,-1,-1,0,benign flow
192.168.50.31:23 223.13.81.146:36153,2.0092413425445557,1676309003.8232005,1676309005.8324418,192.168.50.31,223.13.81.146,23,36153,TCP,5,311,71,54,62.2,5.75,0.0,0.0,8,429,59,52,53.625,2.415476190476191,0.0,0.0,13,740,71,52,56.92307692307693,5.595140970140969,0.0,0.0,0,5,2,0,0,0,0,1,7,13,0,0,0,64,46,52.92307692307693,9.351348651348653,64,64,64.0,0.0,46,46,46.0,0.0,510,454,1, [1:718:16] PROTOCOL-TELNET login incorrect 
192.168.50.3:55432 52.10.23.213:443,10.137518882751465,1676309004.6341474,1676309014.7716663,192.168.50.3,52.10.23.213,55432,443,TCP,6,347,87,52,57.833333333333336,8.458333333333334,0.0,0.0,5,291,83,52,58.2,7.75,0.0,0.0,11,638,87,52,58.0,7.562121212121213,0.0,0.0,0,1,1,0,0,0,0,0,2,11,0,0,0,225,64,137.18181818181816,86.0989898989899,64,64,64.0,0.0,225,225,225.0,0.0,1818,179,0,benign flow
3.137.1.74:443 192.168.50.40:37038,1.6190974712371826,1676309004.82553,1676309006.4446275,3.137.1.74,192.168.50.40,443,37038,TCP,3,189,109,40,63.0,23.0,0.0,0.0,4,298,109,40,74.5,37.375,0.0,0.0,7,487,109,40,69.57142857142857,32.2,0.0,0.0,0,1,2,0,0,0,0,0,3,7,0,0,0,231,128,172.14285714285714,54.19761904761905,231,231,231.0,0.0,128,128,128.0,0.0,30016,7300,0,benign flow
192.168.50.79:49153 100.20.212.253:8886,0.240980863571167,1676309004.9389818,1676309005.1799626,192.168.50.79,100.20.212.253,49153,8886,TCP,2,149,109,40,74.5,34.5,0.0,0.0,1,109,109,109,109.0,0.0,0.0,0.0,3,258,109,40,86.0,23.0,0.0,0.0,0,1,1,0,0,0,0,0,2,3,0,0,0,255,39,183.0,108.0,255,255,255.0,0.0,39,39,39.0,0.0,-1,-1,0,benign flow
192.168.50.3:34145 172.107.198.98:10001,10.025117635726929,1676309005.0998242,1676309015.1249418,192.168.50.3,172.107.198.98,34145,10001,UDP,3,96,32,32,32.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,3,96,32,32,32.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,64,64.0,0.0,64,64,64.0,0.0,0,0,0.0,0.0,-1,-1,0,benign flow
192.168.50.3:34145 192.99.7.194:10001,10.02507209777832,1676309005.1116555,1676309015.1367276,192.168.50.3,192.99.7.194,34145,10001,UDP,3,96,32,32,32.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,3,96,32,32,32.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,64,64.0,0.0,64,64,64.0,0.0,0,0,0.0,0.0,-1,-1,0,benign flow
